,req_index,order_time,desired_time,admit_outcome,predict_with_uncmtd,toa_current_inv,toa_future_exp_return,toa_uncmtd_cnt,toa_occupied_by_pred_same_period,toa_inv_ref,commit_outcome,realized_cycle_duration,commit_time,finish_time,commit_item,fail_time,exp_return_time,real_return_time
0,0,2,21,1,1,5,0,0,0,5,2,39,20,20,1,,59,60
1,1,2,15,1,1,5,0,0,0,5,2,48,14,14,0,,53,63
2,2,21,37,1,1,3,0,0,0,3,2,27,36,36,2,,75,64
3,3,23,39,1,1,3,0,1,0,2,2,26,38,38,3,,77,65
4,4,27,45,1,1,3,0,2,0,1,2,26,44,44,4,,83,71
5,5,32,47,-1,1,3,0,3,0,0,,,,,,,,
6,6,35,51,-1,1,3,0,3,0,0,,,,,,,,
7,7,37,50,-1,1,2,0,2,0,0,,,,,,,,
8,8,39,51,-1,1,1,0,1,0,0,,,,,,,,
9,9,40,58,1,1,1,1,1,0,1,-2,51,,,,58,,
10,10,42,55,1,1,1,1,1,0,1,-2,125,,,,55,,
11,11,43,63,-1,1,1,2,3,0,0,,,,,,,,
12,12,46,61,-1,1,0,2,2,0,0,,,,,,,,
13,13,46,61,-1,1,0,2,2,0,0,,,,,,,,
14,14,53,63,-1,1,0,2,2,0,0,,,,,,,,
15,15,54,73,-1,1,0,2,2,0,0,,,,,,,,
16,16,56,70,1,1,0,2,1,0,1,2,15,69,69,0,,108,85
17,17,57,72,-1,1,0,2,2,0,0,,,,,,,,
18,18,61,74,1,1,1,1,1,0,1,2,38,73,73,2,,112,112
19,19,64,76,1,1,3,0,2,0,1,2,42,75,75,3,,114,118
20,20,65,83,1,1,4,1,3,0,2,-2,59,,,,83,,
21,21,65,80,1,1,4,0,3,0,1,-2,13,,,,80,,
22,22,67,73,1,1,4,0,1,0,3,2,57,72,72,1,,111,130
23,23,68,83,-1,1,4,1,5,0,0,,,,,,,,
24,24,68,80,-1,1,4,0,4,0,0,,,,,,,,
25,25,68,82,-1,1,4,0,5,0,-1,,,,,,,,
26,26,73,91,-1,1,3,0,4,0,-1,,,,,,,,
27,27,80,93,-1,1,1,0,2,0,-1,,,,,,,,
28,28,83,101,-1,1,1,0,1,0,0,,,,,,,,
29,29,83,98,-1,1,1,0,1,0,0,,,,,,,,
30,30,88,95,1,1,2,0,0,0,2,-2,36,,,,95,,
31,31,90,109,1,1,2,0,1,0,1,-2,35,,,,109,,
32,32,90,106,1,1,2,0,1,0,1,-2,29,,,,106,,
33,33,91,114,1,1,2,3,3,0,2,-2,49,,,,114,,
34,34,92,103,1,1,2,0,1,0,1,-2,46,,,,103,,
35,35,94,104,-1,1,2,0,2,0,0,,,,,,,,
36,36,95,114,1,1,2,3,4,0,1,-2,35,,,,114,,
37,37,95,111,-1,1,2,1,4,0,-1,,,,,,,,
38,38,103,112,1,1,2,2,3,0,1,2,40,112,112,0,,,
39,39,104,120,-1,1,2,3,5,0,0,,,,,,,,
40,40,104,120,-1,1,2,3,5,0,0,,,,,,,,
41,41,104,123,-1,1,2,3,5,0,0,,,,,,,,
42,42,107,123,1,1,2,3,4,0,1,-2,51,,,,123,,
43,43,107,117,1,1,2,3,4,0,1,-2,19,,,,117,,
44,44,112,120,1,1,3,2,4,0,1,2,57,119,119,2,,,
45,45,114,122,-1,1,2,2,4,0,0,,,,,,,,
46,46,114,122,-1,1,2,2,4,0,0,,,,,,,,
47,47,116,128,1,1,2,2,3,0,1,-2,84,,,,128,,
48,48,119,137,1,1,3,1,3,0,1,2,131,136,136,1,,,
49,49,123,137,1,1,2,1,2,0,1,-2,32,,,,137,,
50,50,131,145,1,1,3,0,2,0,1,-2,56,,,,145,,
51,51,131,148,-1,1,3,0,3,0,0,,,,,,,,
52,52,135,145,1,1,3,0,2,0,1,-2,34,,,,145,,
53,53,137,149,-1,1,2,0,3,0,-1,,,,,,,,
54,54,139,154,1,1,2,1,2,0,1,-2,31,,,,154,,
55,55,145,165,1,1,2,2,3,0,1,-2,38,,,,165,,
56,56,146,160,1,1,2,2,1,0,3,-2,25,,,,160,,
57,57,149,157,1,1,2,1,1,0,2,-2,31,,,,157,,
58,58,151,168,-1,1,2,2,4,0,0,,,,,,,,
59,59,151,163,1,1,2,2,3,0,1,-2,65,,,,163,,
60,60,156,173,-1,1,3,1,4,0,0,,,,,,,,
61,61,158,171,1,1,3,1,3,0,1,-2,52,,,,171,,
62,62,158,176,1,1,3,2,4,0,1,-2,36,,,,176,,
63,63,160,176,1,1,3,2,4,0,1,-2,59,,,,176,,
64,64,166,180,1,1,3,2,3,0,2,-2,76,,,,180,,
65,65,167,177,1,1,3,2,3,0,2,2,42,177,177,0,,,
66,66,168,177,1,1,3,2,3,0,2,-2,36,,,,177,,
67,67,169,179,-1,1,3,2,5,0,0,,,,,,,,
68,68,170,179,-1,1,3,2,5,0,0,,,,,,,,
69,69,171,181,-1,1,3,2,6,0,-1,,,,,,,,
